,gene,euclidean_dist,cityblock_dist,minkowsky_dist,cosine_dist,km2_eucl,km3_eucl,km5_eucl,km10_eucl,km100_eucl,km2_city,km3_city,km5_city,km10_city,km100_city,km2_minkow,km3_minkow,km5_minkow,km10_minkow,km100_minkow,km2_cos,km3_cos,km5_cos,km10_cos,km100_cos
0,A2ML1,0.26217704331608127,0.37892039780588027,0.26217704331608127,0.08143810287818798,0,0,4,9,46,1,2,2,9,81,0,0,2,9,72,0,1,1,0,67
1,A4GALT,0.6393416911727415,1.0334635416666669,0.6393416911727415,0.42282057569876885,1,1,3,3,76,0,1,4,6,59,1,2,0,7,59,1,0,0,6,78
2,AAAS,0.26494074208630586,0.43263845280904256,0.26494074208630586,0.08590390050354058,0,0,4,9,99,1,2,2,9,96,0,0,2,9,90,0,1,1,0,58
3,AACS,0.15447452785621116,0.22532658995508192,0.15447452785621116,0.034491912393315394,0,2,0,8,84,1,0,0,5,9,0,1,3,0,5,0,1,3,2,95
4,AADACL1,0.24889702067515684,0.35721925133689847,0.24889702067515684,0.08233518238885684,0,0,4,9,3,1,2,0,0,34,0,0,2,9,85,0,1,1,0,11
5,AAK1,0.19927099185611724,0.3208701268853942,0.19927099185611724,0.04644077624265308,0,2,0,4,61,1,0,0,0,89,0,1,3,8,39,0,1,3,2,89
6,AARS,0.3624237623491121,0.5642557917074404,0.3624237623491121,0.16081965983819813,1,0,4,0,90,0,2,1,7,31,1,0,2,2,29,1,2,4,1,66
7,AARS2,0.26448548845316316,0.3752508095436756,0.26448548845316316,0.0927206699133577,0,0,4,9,99,1,2,2,9,53,0,0,2,9,90,0,1,1,0,32
8,AARSD1,0.3183695794246511,0.49477056210805304,0.3183695794246511,0.11246849556553662,1,0,4,0,1,0,2,2,3,63,1,0,2,5,51,0,2,1,7,6
9,AASDH,0.18865618353998778,0.28454691267933274,0.18865618353998778,0.03755231455882668,0,2,0,8,7,1,0,0,0,93,0,1,3,8,13,0,1,3,2,90
10,AASDHPPT,0.1426545672514215,0.22427045937593085,0.1426545672514215,0.023726495627316324,0,2,0,8,87,1,0,0,5,9,0,1,3,0,83,0,1,3,5,23
11,AASS,0.47240972216653976,0.7665147776183643,0.47240972216653976,0.22496620960502411,1,1,1,2,88,0,1,1,1,51,1,2,4,1,34,1,2,4,9,5
12,AATF,0.40229900202882424,0.6144516178568914,0.40229900202882424,0.19688237475562786,1,0,1,6,77,0,2,1,7,1,1,0,4,2,74,1,2,4,9,99
