gene_id	C1	C2	H1	H2
TcCLB.509395.10	1992	2812	1672	1735
TcCLB.509395.20	5353	7152	4079	3473
TcCLB.509395.30	3448	4636	2618	2408
TcCLB.509395.40	1416	2058	1602	1775
TcCLB.509395.50	3814	5322	3131	2942
TcCLB.509395.59	628	824	538	576
TcCLB.509395.70	2648	3750	2457	2240
TcCLB.509395.80	2314	3137	1907	1901
TcCLB.509395.90	656	921	611	634
TcCLB.509395.100	3084	4058	3098	3170
TcCLB.509395.120	2172	3048	1656	1635
TcCLB.505037.20	1552	2133	1277	1314
TcCLB.505037.30	1474	2078	1203	1234
TcCLB.505037.40	785	975	619	610
TcCLB.505037.50	3027	4292	2611	2767
TcCLB.505037.60	526	666	640	606
TcCLB.505037.70	267	356	293	251
TcCLB.505037.100	11	24	22	17
TcCLB.505037.140	2	2	1	2
TcCLB.505037.157	0	2	0	0
TcCLB.507233.110	3647	5125	2216	1895
TcCLB.507233.94	2	0	1	0
TcCLB.507233.70	7	5	6	7
TcCLB.507233.60	30	45	29	41
TcCLB.507233.10	0	0	0	0
TcCLB.508635.10	8	14	8	3
TcCLB.508637.10	0	0	0	0
TcCLB.508637.19	0	0	0	0
TcCLB.508637.30	5	0	1	0
TcCLB.508637.40	2	10	4	7
TcCLB.508637.63	7229	9196	8248	7111
TcCLB.508637.66	1482	1873	1382	1336
TcCLB.508637.69	822	1120	851	805
TcCLB.508637.70	2655	3901	2638	2506
TcCLB.508637.79	1001	1260	870	756
TcCLB.508637.90	1375	1523	1079	1002
TcCLB.508637.100	633	766	649	627
TcCLB.508637.110	746	831	598	618
TcCLB.508637.114	501	650	425	371
TcCLB.508637.120	1029	1383	911	950
TcCLB.508637.130	323	424	358	382
TcCLB.508637.140	768	999	848	886
TcCLB.508637.150	1159	1438	967	1009
TcCLB.508637.160	281	362	290	279
TcCLB.511913.9	0	0	0	0
TcCLB.464879.9	0	0	0	0
TcCLB.506977.10	1	1	0	0
TcCLB.506977.30	676	837	608	492
TcCLB.506977.40	513	650	440	432
TcCLB.506977.49	504	724	635	637
TcCLB.506977.60	607	714	533	549
TcCLB.506977.70	862	1143	818	726
TcCLB.506977.80	2218	3175	1934	1949
TcCLB.506977.90	3090	4141	2896	2816
TcCLB.506977.110	836	1203	919	977
TcCLB.506977.120	1057	1302	993	794
TcCLB.506977.130	1446	1828	1422	1401
TcCLB.506977.139	683	1129	904	916
TcCLB.509691.10	590	862	746	797
TcCLB.507743.9	1233	1728	1274	1261
TcCLB.509693.20	1924	3184	2265	2089
TcCLB.509693.30	1356	1893	1288	1168
TcCLB.509693.40	432	567	457	436
TcCLB.509693.50	4257	6190	4246	4452
TcCLB.509693.60	934	1198	895	805
TcCLB.509693.70	779	1045	866	845
TcCLB.509693.80	1293	1859	1187	1264
TcCLB.509693.90	1959	2789	2057	1866
TcCLB.509693.100	1688	2335	1622	1574
TcCLB.509693.110	703	955	690	707
TcCLB.509693.120	1243	1780	1240	1225
TcCLB.509693.130	1276	1706	1125	998
TcCLB.509693.140	1889	2793	1662	1592
TcCLB.509693.150	988	1364	1075	981
TcCLB.509693.160	1477	2082	1330	1327
TcCLB.509693.170	1392	1992	1196	1133
TcCLB.509693.180	332	445	390	361
TcCLB.509693.190	1123	1601	1207	1177
TcCLB.509693.194	250	281	240	200
TcCLB.509693.200	805	1000	635	640
TcCLB.509693.209	24	32	18	16
TcCLB.509695.10	1032	1453	1130	1042
TcCLB.509695.20	1370	1844	1319	1308
TcCLB.509695.30	902	1268	939	954
TcCLB.509695.40	1693	2232	1680	1711
TcCLB.509695.50	663	782	873	760
TcCLB.509695.60	1132	1628	1089	1052
TcCLB.509695.70	1542	2325	1651	1623
TcCLB.509695.80	1351	1891	1359	1267
TcCLB.509695.90	3811	5263	3452	3198
TcCLB.509695.100	1774	2248	1508	1450
TcCLB.509695.110	1506	2126	1533	1504
TcCLB.509695.120	1529	2152	1410	1346
TcCLB.509695.130	2004	2788	1689	1653
TcCLB.509695.140	1822	2659	1946	1823
TcCLB.509695.150	5073	7424	4558	4371
TcCLB.509695.170	2233	2849	2812	2721
TcCLB.509695.180	79	108	115	119
TcCLB.509695.184	4	3	2	6
TcCLB.509695.190	1367	2151	1549	1664
TcCLB.509695.200	5175	7739	4779	4822
TcCLB.509695.210	2	3	4	3
TcCLB.509695.220	0	0	0	0
TcCLB.509695.230	0	0	0	0
TcCLB.506385.20	15	30	36	33
TcCLB.506385.10	33	43	59	49
TcCLB.509863.10	180	224	109	120
TcCLB.507753.10	1	2	6	3
TcCLB.507753.6	2	3	1	0
TcCLB.507753.3	0	0	0	0
TcCLB.506253.39	2	1	0	0
TcCLB.506253.30	1	1	0	2
TcCLB.506253.21	0	1	0	0
TcCLB.506253.11	0	3	0	0
TcCLB.506855.370	1546	2122	1328	1324
TcCLB.506855.360	5865	7967	4564	4333
TcCLB.506855.350	487	657	482	435
TcCLB.506855.340	1640	2248	1632	1506
TcCLB.506855.330	2996	4229	4335	4487
TcCLB.506855.320	1143	1547	1202	1261
TcCLB.506855.310	4256	6046	4022	3888
TcCLB.506855.300	1528	2185	2034	1937
TcCLB.506855.290	1249	1796	1606	1595
TcCLB.506855.280	1390	2156	1565	1393
TcCLB.506855.270	576	730	549	492
TcCLB.506855.260	1492	2251	1855	1628
TcCLB.506855.250	2168	3072	1799	1724
TcCLB.506855.240	2934	4041	3132	2966
TcCLB.506855.220	446	599	428	424
TcCLB.506855.209	1258	1664	1161	1089
TcCLB.506855.200	500	665	555	506
TcCLB.506855.190	1817	2623	2243	2310
TcCLB.506855.180	4667	5996	5065	4936
TcCLB.506855.170	1030	1394	1055	1006
TcCLB.506855.160	4048	5658	3765	3873
TcCLB.506855.150	2394	3385	2386	2429
TcCLB.506855.140	1966	2679	1625	1700
TcCLB.506855.130	913	1245	770	789
TcCLB.506855.120	2475	3252	2054	1916
TcCLB.506855.110	2325	3154	2164	2036
TcCLB.506855.100	926	1394	970	970
TcCLB.506855.90	3172	4502	3105	2918
TcCLB.506855.85	63	80	60	66
TcCLB.506855.80	2398	3279	2324	2217
TcCLB.506855.70	2475	3385	2252	2195
TcCLB.506855.60	1323	1840	1282	1167
TcCLB.506855.20	1116	1634	1171	1105
TcCLB.506855.10	1963	2684	1869	1623
TcCLB.506853.70	1874	2480	1507	1339
TcCLB.506853.60	278	395	295	267
TcCLB.506853.50	4184	5955	4262	4399
TcCLB.506853.40	2000	2570	1794	1706
TcCLB.506853.30	1321	1811	1369	1249
TcCLB.506853.20	2418	3360	2365	2299
TcCLB.506853.10	7488	10062	6950	6341
TcCLB.507073.49	1302	1953	1467	1436
