A2ML1	11731	13308	6944	912	3071	1160
A4GALT	162	111	751	296	362	182
AAAS	199	215	512	81	344	342
AACS	470	573	690	710	1112	728
AADACL1	97	153	245	154	369	242
AAK1	1342	1043	3489	859	1691	2453
AARS	1158	664	2593	1636	3564	3040
AARS2	319	345	746	241	463	367
AARSD1	99	136	414	153	117	173
AASDH	116	193	232	36	188	275
AASDHPPT	247	366	510	212	269	628
AASS	301	371	578	8	474	215
AATF	162	212	372	344	1239	512
ABAT	94.3333	137	128	27.3333	81.3333	65.3333
ABBA-1	813	765	2271	1769	1097	1327
ABCA1	3107	2529	7749	1087	3569	5517
ABCA10	276	517	747	1	50	113
ABCA11P	62	124	194	40	73	110
ABCA12	269.5	131	508.5	1394	700.5	1716.5
ABCA2	347	368.5	1064	421	1734	298
ABCA3	153	106	479	19	361	96
ABCA5	836	1889	1307	163	534	662.5
ABCA6	384	366	1633	19	52	171
ABCA7	875	552	1307	290	487	355
ABCA8	482	418	1760	25	29	110
ABCA9	250	244	918	7	43	126
ABCB10	151	189	396	119	187	354
ABCB6	160	184	381	247	176	377
ABCB7	131	179	281	55	212	277
ABCB8	296	247	676	227	360	339
ABCB9	48	65	125.667	109.667	81.6667	160.333
ABCC1	1566.2	1727.8	3289.6	4155.4	4514.2	2558.4
ABCC10	391	547	1225	376	928	802
ABCC3	462	712	434	591	1034	369
ABCC4	114	207.5	521.5	229.5	490	187
ABCC5	868.5	1091.5	2350	761	2041	1662.5
ABCC9	399.667	337.667	2509.67	28.3333	24	215
ABCD1	57	83	317	88	107	201
ABCD3	222.5	315.5	461	232	192.5	317
ABCD4	179	354.5	725	221.5	412	432
ABCE1	386.5	372.5	520	399	524.5	746
ABCF1	837.5	764	1955	849	1315	1658.5
ABCF2	363	202.5	872	251	508	363.5
ABCG1	199.333	285.833	527.167	269.333	562.667	382.833
ABHD10	113	189	261	238	149	335
ABHD11	31	60	77	84	95	99
ABHD12	140.5	168.5	291	278.5	441.5	147.5
ABHD13	222	315	567	245	234	477
ABHD14B	280	269	606	201	421	192
ABHD2	1015	934.5	4303.5	1251.5	1414	3184
ABHD3	90	192	343	159	177	205
ABHD4	211	190	547	116	465	381
ABHD5	388	408	919	276	350	497
ABHD6	88	73	117	94	243	101
ABHD9	68	63	95	8	33	40
ABI1	610.75	884	1092.75	439.25	1117	1616.5
ABI2	426	539	1502	678	776	721
ABI3	68.5	69	275	22	91.5	122
ABI3BP	348	322	2763	2	31	104
ABL1	1280.5	710.5	4595.5	570.5	808	1822.5
ABL2	680.4	383.6	2951.6	726.8	1115.6	2530.8
ABLIM1	5980.5	4417.5	7900	2693.75	6140.5	6310.75
ABLIM2	445.143	182.857	2222	61	142.286	383.429
ABLIM3	350	482	1676	27	90	243
ABO	142	94	169	39	29	14
ABR	1768	1310.5	3579.5	1012	1690.5	2129
ABT1	119	112	310	143	100	234
ABTB1	96.3333	149	1036	190	275	316.667
ABTB2	96	130	427	54	119	358
ACAA1	397	318	727.333	179.667	186	232
ACACA	1593.8	1579	2796.8	965.2	7314.2	3600.2
ACACB	628	447	2228	14	172	338
ACAD10	211.667	304.333	709.333	290.333	516	400
ACAD11	243	499	725	167	230	591
ACAD8	123	191	474	112	88	182
ACAD9	216	264	558	406	509	668
ACADM	427	653	862.5	181	366	593
ACADS	95	113	430	55	166	161
ACADSB	183	258	262	128	65	114
ACADVL	3754	2787	7677	2368	5023	3444
ACAP1	94	131	500	46	125	92
ACAP2	813	1187	1906	900	2342	1955
ACAP3	667	811	1431	951	1483	1391
ACAT1	236	288	537	103	157	299
ACAT2	167	159	291	119	267	241
ACBD3	567	621	1490	563	857	1764
ACBD4	59	52	156	65	20	37
ACBD5	244	302.667	587.333	186.667	315	550
ACCS	103.5	147.5	349	70	115	101
ACD	37.3333	56	124.333	136	139.667	139
ACE	68	83	632	53	132	84
ACHE	155	170.5	562	36.5	15	96.5
ACIN1	1344	1482	3393	1111	2210	2206
ACO1	166	155	995	67	409	293
ACO2	289	325	595	283	615	332
ACOT11	247	187	773	414.5	262.5	539
ACOT7	115.75	157.25	233.25	546.25	909.25	508.5
ACOT8	111	152	227	169	139.5	235
ACOT9	90	172	561	72	270	554
ACOX1	1271	1581.5	2608	784.5	2064	2236.5
ACOX3	390.5	502	747	199	293	433.5
ACP1	113.667	151.333	274.333	118.667	222.333	315.333
ACP2	86	114	385	62	204	386
ACP5	129.5	158	571	524	1112.5	839
ACP6	67	60	136	66	61	91
ACPP	308.5	460.5	381.5	198	188	60
ACSF2	132	243	194	20	84	134
ACSF3	114.667	115.333	443.333	239.333	284.667	269.667
ACSL1	1104	1328	5089	702	1538	1369
ACSL3	797	844.5	1060.5	465	661.5	1205.5
ACSL4	848	649	3853.5	261	1301	1102.5
ACSL5	61.6667	111	252.667	11	40	71
ACSS1	245	293	752	664	1069	256
ACSS2	335.5	337.5	1091	383	639	413
ACTA1	3334	3198	13643	8	32	1063
ACTA2	135	290	1408	120	62	309
ACTC1	704	1587	6425	34	22	1120
ACTG1	3531	3238	5063	4263	4136	5799
ACTN1	2029.33	1418.67	4674	2135	7427.67	7022.33
ACTN2	1460	1495	6789	10	24	785
ACTN4	3171	2353	4127	3294	3221	3086
ACTR10	229	297	555	240	333	608
ACTR1A	749	593	2897	347	1206	2033
ACTR1B	244	322	784	247	569	402
ACTR2	565	759	1799	715	955	2144
ACTR3	1481	1972	3497	1962	2083	3860
ACTR5	105	120	317	239	294	276
ACTR6	136	183	240	65	251	273
ACTR8	198	233	478	25	214	258
ACVR1	169.5	232.5	905	303	545.5	861
ACVR1B	306.667	167.667	581.333	124	488.667	527.333
ACVR2A	234	437	621	154	228	217
ACVR2B	202	164	758	241	300	402
ACVRL1	172	141.5	1594.5	74.5	99.5	228.5
ACY1	58	77	310	62	244	151
ADAM10	650	820	1875	438	1189	3431
ADAM12	19.5	49	1752.5	221.5	219	833.5
ADAM15	1525.83	991.667	3939.83	2721	1959.17	2930.83
ADAM17	426	513	1024	674	821	1755
ADAM19	318.5	190	1745.5	193	186.5	731
ADAM23	93	75	287	48	629	185
ADAM8	84	98	1046	295	422	409
ADAM9	583	784	2199.5	961.5	1009	1536
ADAMTS1	2996	1094	3530	545	316	582
ADAMTS10	130	145	795	83	136	174
ADAMTS12	55	96	1080	242	172	625
ADAMTS14	68	173	2017	349	749.5	1154
ADAMTS15	61	30	234	13	111	222
ADAMTS17	110	135	788	12	86	53
ADAMTS2	98	165	2609.5	369	423.5	864.5
ADAMTS4	512	84	2394	165	315	229
ADAMTS5	129	93	1289	35	27	102
ADAMTS9	782	251	4211	93	83	347
ADAMTSL1	55	88	367	2	19	33
ADAMTSL4	484.5	526	2214	127.5	771.5	314
ADAMTSL5	111	67	117	150	142	117
ADAP1	45	22	168	202	233	91
ADAP2	113	129	636	123	91	208
ADAR	2682.75	1838.75	5800	2239.5	4148.75	7900
ADARB1	157.75	261	747.75	128.75	279.25	539.75
ADAT1	122	207	527	210	496	445
ADAT2	177	300	425	98	484	266
ADCK2	285	210	559	418	529	705
ADCK4	190	167	503	195	231	174
ADCK5	119	249	359	315	317	526
ADCY1	100	78	397	13	27	53
ADCY3	839	529	2204	1160	1608	1146
ADCY4	230	172	1247	48	43	191
ADCY6	768	594.5	2521.5	226	208	798.5
ADCY7	512	694	2009	548	807	1818
ADCY9	586	575	1827	440	508	764
ADD1	1018.5	882.5	2502.5	445.5	695	1813
ADD3	645	726	1976	664.667	1327.33	1856.33
ADFP	156	90	1085	36	426	121
ADH5	261	380	518	467	478	790
ADH7	1072	2116	404	628	385	91
ADI1	277	480	499	120	736	457
ADIPOR1	440.5	576.5	1269.5	449	854.5	1397.5
ADIPOR2	848	1288	1713	1302	1134	1937
ADK	210	448	269	229.5	416	516
ADM	233	220	328	219	298	341
ADNP	865	938	1745.5	871	1198	2233.5
ADNP2	457	546	760	409	1034	703
ADO	232	243	699	284	457	999
ADORA2B	142	126	135	312	496	310
ADPGK	206.667	325.333	871.667	77.3333	553	557
ADPRH	88	118	437	18	46	109
ADPRHL1	149	169	163	0	7	58
ADPRHL2	204	173	441	217	373	547
ADRA2A	150	236	407	13	144	37
ADRB2	215	298	267	51	53	85
ADRBK1	1120	858	2919	2210	1266	1873
ADRBK2	343	350	835	125	1407	568
ADRM1	599.5	399	1446	654.5	1293	1155.5
ADSL	247	228	775	200	407	435.5
ADSS	294	539	633	433	577	658
ADSSL1	82	89	69	7	59	38
AEBP1	887	818	6834	1081	1549	2751
AEBP2	380	518	820	690	615	1509
AEN	424	213	932	462	824	824
AES	1581.67	1469	2593	862.667	1115	837.667
AFAP1	281	362	955	316.333	428.667	873.333
AFAP1L1	173	151	2000	391	94	405
AFAP1L2	328	476	620.5	564	1795	1830.5
AFF1	1793	1613	3558	922	1586	2678
AFF4	2313	2242	5065	2302	2048	4063
AFG3L1	61	108	197	101	284.333	194
AFG3L2	342	396	1027	472	419	413
AFMID	110	147	296	101	243	273
AFTPH	482	729.333	1016.33	646.333	1017	1337
AGA	74	159	125	77	263	197
AGAP1	279.5	275	511	421	553	415
AGAP2	50.5	76.5	355.5	59.5	55.5	108
AGAP3	552.5	391	1091	549	787	521
AGBL1	122	90	622	1	0	83
AGBL5	106	101.5	175	121	244.5	172.5
AGER	68	73.5	273	34.5	70	93.5
AGFG1	1334	1245	2794.5	1712	1906.25	2750.5
AGFG2	430	279	617	449	454	305
AGGF1	224	319	609	324	248	456
AGK	107	205	314	157	344	166
AGL	1265.17	2210	2274.33	462.667	787.833	1190.33
AGPAT1	211.5	160.5	976.5	271.5	458.5	672.5
AGPAT2	139	230	446	243.5	453.5	381.5
AGPAT3	974	633.5	2378.5	1092.5	767	1819
AGPAT4	152	245	982	96	165	505
AGPAT5	270	319	678	310	715	349
AGPAT6	344	357	1283	290	591	1228
AGPAT9	104	106	309	138	112	72
AGPS	595	744	1684	398	613	1277
AGRN	1253	1341	2607	4948	6518	5791
AGTPBP1	314	519	936	193	435	428
AGTRAP	112.4	62.6	439.6	202	338.4	424.6
AGXT2L2	165	183	817	163	172	178
